stock,start_date,stage
VS,2015-11-13,4.0
VS,2017-08-18,2.0
VS,2020-11-27,4.0
VS,2018-01-26,4.0
VS,2016-05-06,1.0
VS,2015-01-30,2.0
VS,2021-04-16,4.0
VS,2017-03-03,1.0
ACET,2021-08-20,4.0
ACET,2019-04-05,4.0
ACET,2020-03-20,3.0
ACET,2019-10-25,2.0
ACET,2019-04-19,4.0
ACET,2020-05-15,3.0
ACET,2020-08-14,3.0
ACET,2019-02-15,3.0
ACET,2019-03-08,3.0
ACET,2021-05-21,4.0
ACET,2021-03-12,4.0
ACET,2019-02-22,3.0
ACET,2018-11-09,3.0
ACET,2020-04-03,3.0
ACET,2021-08-06,4.0
ACET,2019-10-04,1.0
ACET,2019-06-14,4.0
ACET,2021-03-26,4.0
ACET,2020-11-27,4.0
ACET,2020-10-09,3.0
HWM,2018-04-13,4.0
HWM,2017-10-27,2.0
HWM,2019-01-04,2.0
HWM,2018-08-10,1.0
HWM,2020-05-01,3.0
HWM,2020-09-18,3.0
HWM,2018-06-29,4.0
HWM,2019-10-18,3.0
HWM,2018-04-20,4.0
HWM,2021-04-02,3.0
HWM,2018-11-23,2.0
HWM,2020-08-28,3.0
HWM,2021-10-01,3.0
HWM,2020-08-21,3.0
HWM,2021-08-27,3.0
HWM,2021-03-05,3.0
HWM,2021-09-24,3.0
HWM,2018-01-12,4.0
HWM,2018-04-06,4.0
HWM,2020-01-24,3.0
INSE,2017-11-03,4.0
INSE,2019-03-01,2.0
INSE,2017-05-05,2.0
INSE,2019-03-08,2.0
INSE,2019-06-14,2.0
INSE,2017-07-14,3.0
INSE,2019-12-20,3.0
INSE,2019-10-04,2.0
INSE,2021-04-16,3.0
INSE,2021-04-23,2.0
INSE,2018-09-21,2.0
INSE,2021-09-17,4.0
INSE,2018-12-07,2.0
INSE,2019-05-24,2.0
INSE,2016-07-29,1.0
INSE,2020-07-31,1.0
INSE,2019-05-10,2.0
INSE,2017-09-29,3.0
INSE,2018-01-19,4.0
INSE,2015-09-11,3.0
CJJD,2020-02-07,4.0
CJJD,2015-08-14,4.0
CJJD,2021-06-25,4.0
CJJD,2016-02-05,1.0
CJJD,2016-02-26,1.0
CJJD,2018-03-09,2.0
CJJD,2013-04-26,2.0
CJJD,2014-08-08,1.0
CJJD,2016-06-24,4.0
CJJD,2012-12-07,2.0
CJJD,2011-03-25,4.0
CJJD,2019-05-24,4.0
CJJD,2011-07-15,4.0
CJJD,2018-06-08,4.0
CJJD,2016-01-08,4.0
CJJD,2021-01-08,2.0
CJJD,2020-10-09,2.0
CJJD,2012-07-27,3.0
CJJD,2018-05-25,4.0
CJJD,2016-04-22,1.0
PLYM,2021-04-23,1.0
PLYM,2021-06-18,1.0
PLYM,2019-03-08,2.0
PLYM,2019-03-01,2.0
PLYM,2021-10-15,1.0
PLYM,2021-03-05,1.0
PLYM,2019-12-27,3.0
PLYM,2020-10-23,1.0
PLYM,2018-03-30,4.0
PLYM,2020-11-20,1.0
PLYM,2021-07-02,1.0
PLYM,2018-10-05,1.0
PLYM,2021-03-19,1.0
PLYM,2021-08-13,1.0
PLYM,2019-06-28,2.0
PLYM,2020-12-11,1.0
PLYM,2018-12-21,1.0
PLYM,2019-11-29,3.0
PLYM,2019-09-20,2.0
PLYM,2019-01-25,2.0
MYND,2021-01-08,1.0
MYND,2021-04-09,1.0
MYND,2020-02-07,4.0
MYND,2020-02-14,4.0
MYND,2020-11-06,1.0
MYND,2019-03-01,3.0
MYND,2020-04-24,4.0
MYND,2019-12-13,4.0
MYND,2019-02-22,3.0
MYND,2019-02-15,2.0
MYND,2019-02-08,2.0
MYND,2021-01-15,1.0
MYND,2019-10-11,4.0
MYND,2018-11-09,4.0
MYND,2021-04-16,1.0
MYND,2020-07-10,4.0
MYND,2021-02-19,1.0
MYND,2018-10-26,4.0
MYND,2020-01-31,4.0
MYND,2020-03-06,4.0
PARAA,2020-10-09,4.0
PARAA,2020-08-28,4.0
PARAA,2021-06-04,4.0
PARAA,2021-05-21,4.0
PARAA,2021-01-29,1.0
PARAA,2021-09-10,4.0
PARAA,2020-09-04,4.0
PARAA,2021-03-19,4.0
PARAA,2020-12-18,1.0
PARAA,2020-11-20,1.0
PARAA,2021-09-24,4.0
PARAA,2021-04-23,4.0
PARAA,2021-06-25,4.0
PARAA,2021-01-01,1.0
PARAA,2021-10-22,1.0
PARAA,2021-01-08,1.0
PARAA,2021-05-28,4.0
PARAA,2021-09-03,4.0
PARAA,2021-02-12,1.0
PARAA,2021-10-01,1.0
BC,1992-04-03,2.0
BC,1984-03-16,2.0
BC,1995-08-04,3.0
BC,1991-10-11,2.0
BC,2003-05-23,3.0
BC,2003-05-09,3.0
BC,1997-11-21,4.0
BC,2009-12-11,2.0
BC,1991-07-05,1.0
BC,1984-12-07,2.0
BC,2010-11-26,2.0
BC,1986-08-01,1.0
BC,1983-03-04,3.0
BC,2006-07-14,1.0
BC,1994-12-30,2.0
BC,1996-12-13,1.0
BC,1985-11-15,4.0
BC,2005-01-28,1.0
BC,2019-02-15,2.0
BC,2018-03-09,4.0
SLDB,2021-07-09,4.0
SLDB,2021-02-26,4.0
SLDB,2020-10-02,4.0
SLDB,2020-11-20,4.0
SLDB,2020-06-05,4.0
SLDB,2020-07-17,4.0
SLDB,2021-10-15,1.0
SLDB,2021-06-11,4.0
SLDB,2019-01-18,2.0
SLDB,2020-05-01,4.0
SLDB,2019-01-04,2.0
SLDB,2019-11-29,4.0
SLDB,2021-05-07,1.0
SLDB,2020-06-12,4.0
SLDB,2019-12-13,4.0
SLDB,2019-07-12,4.0
SLDB,2021-01-22,4.0
SLDB,2019-05-03,4.0
SLDB,2019-05-10,4.0
SLDB,2021-06-18,4.0
KELYB,1993-01-29,1.0
KELYB,1987-03-20,1.0
KELYB,1993-02-19,1.0
KELYB,2012-09-07,4.0
KELYB,2001-05-11,1.0
KELYB,2014-02-28,2.0
KELYB,2000-07-28,3.0
KELYB,1998-03-27,1.0
KELYB,1990-11-23,2.0
KELYB,2002-08-16,1.0
KELYB,2021-07-23,1.0
KELYB,1997-08-22,4.0
KELYB,2003-09-12,1.0
KELYB,2009-12-18,1.0
KELYB,2020-08-21,4.0
KELYB,2006-11-03,4.0
KELYB,2010-03-19,4.0
KELYB,2006-10-06,4.0
KELYB,2003-10-17,1.0
KELYB,2013-11-08,1.0
NLY,2005-01-07,1.0
NLY,2013-01-04,1.0
NLY,1999-08-13,3.0
NLY,2006-01-20,3.0
NLY,2007-03-30,1.0
NLY,2021-01-29,4.0
NLY,2004-08-13,1.0
NLY,1998-12-25,2.0
NLY,2001-10-19,1.0
NLY,2002-04-19,1.0
NLY,2017-11-17,1.0
NLY,2014-11-21,1.0
NLY,2020-03-13,4.0
NLY,2001-05-18,3.0
NLY,2010-04-30,3.0
NLY,2009-02-20,3.0
NLY,2008-10-10,3.0
NLY,2018-04-20,4.0
NLY,2010-09-10,3.0
NLY,2009-05-15,3.0
ATR,2004-01-30,3.0
ATR,2002-05-03,3.0
ATR,1997-05-09,1.0
ATR,2012-11-02,1.0
ATR,2000-06-30,4.0
ATR,2003-08-08,3.0
ATR,1994-05-27,4.0
ATR,2019-04-05,3.0
ATR,2008-01-18,1.0
ATR,2021-04-02,1.0
ATR,1994-03-18,3.0
ATR,2011-09-23,1.0
ATR,2016-01-29,1.0
ATR,2007-01-26,4.0
ATR,1999-04-30,2.0
ATR,1999-05-21,3.0
ATR,2007-08-03,1.0
ATR,2018-04-20,1.0
ATR,2020-12-25,1.0
ATR,1998-09-18,1.0
BBWI,2007-05-04,2.0
BBWI,2016-02-05,4.0
BBWI,2008-12-19,3.0
BBWI,1991-07-19,4.0
BBWI,2003-05-02,1.0
BBWI,2020-04-17,4.0
BBWI,1985-05-17,2.0
BBWI,1983-05-27,4.0
BBWI,2008-10-24,3.0
BBWI,2007-03-02,4.0
BBWI,1983-04-15,2.0
BBWI,2006-10-27,4.0
BBWI,1995-10-13,3.0
BBWI,2017-01-27,1.0
BBWI,2020-05-22,4.0
BBWI,1998-01-16,4.0
BBWI,2004-08-20,2.0
BBWI,1997-08-22,3.0
BBWI,1995-03-31,1.0
BBWI,1992-12-11,1.0
AVD,2003-07-18,3.0
AVD,1998-11-06,2.0
AVD,2006-05-26,4.0
AVD,1990-03-23,2.0
AVD,2018-04-20,1.0
AVD,2011-03-18,4.0
AVD,2012-06-15,4.0
AVD,2008-01-25,1.0
AVD,2004-03-19,3.0
AVD,2017-04-28,4.0
AVD,2018-06-22,4.0
AVD,2015-07-17,2.0
AVD,1996-08-16,4.0
AVD,2017-11-10,2.0
AVD,2011-11-18,4.0
AVD,1999-10-15,2.0
AVD,2006-04-07,4.0
AVD,2013-08-30,2.0
AVD,2021-10-01,4.0
AVD,1989-02-03,1.0
PCTY,2019-11-29,4.0
PCTY,2017-09-15,3.0
PCTY,2016-12-02,2.0
PCTY,2020-07-03,2.0
PCTY,2021-08-06,1.0
PCTY,2015-04-03,2.0
PCTY,2016-10-28,1.0
PCTY,2021-01-15,4.0
PCTY,2020-06-12,2.0
PCTY,2016-07-15,2.0
PCTY,2018-12-07,3.0
PCTY,2018-06-08,3.0
PCTY,2015-03-13,1.0
PCTY,2016-06-03,2.0
PCTY,2021-07-16,1.0
PCTY,2018-03-09,4.0
PCTY,2018-07-27,3.0
PCTY,2015-10-09,3.0
PCTY,2018-03-16,1.0
PCTY,2015-07-31,3.0
RSLS,2017-11-17,4.0
RSLS,2018-05-04,4.0
RSLS,2019-12-13,4.0
RSLS,2021-07-30,4.0
RSLS,2018-07-27,4.0
RSLS,2020-08-14,4.0
RSLS,2018-08-17,1.0
RSLS,2021-07-02,4.0
RSLS,2019-11-15,4.0
RSLS,2020-05-08,4.0
RSLS,2018-12-21,2.0
RSLS,2019-07-26,4.0
RSLS,2021-10-15,4.0
RSLS,2018-11-16,2.0
RSLS,2019-07-19,4.0
RSLS,2021-08-20,4.0
RSLS,2018-06-29,4.0
RSLS,2019-04-26,2.0
RSLS,2021-08-06,4.0
RSLS,2019-05-24,2.0
CWEN,2016-10-14,1.0
CWEN,2019-08-23,3.0
CWEN,2017-11-17,1.0
CWEN,2019-07-19,3.0
CWEN,2018-07-20,3.0
CWEN,2018-11-09,2.0
CWEN,2020-10-30,3.0
CWEN,2020-12-18,4.0
CWEN,2018-03-02,3.0
CWEN,2018-05-25,2.0
CWEN,2019-04-05,3.0
CWEN,2021-04-30,4.0
CWEN,2021-01-01,4.0
CWEN,2016-09-02,1.0
CWEN,2017-10-06,1.0
CWEN,2018-10-05,2.0
CWEN,2021-01-15,4.0
CWEN,2018-06-08,2.0
CWEN,2021-08-27,4.0
CWEN,2018-10-19,2.0
BSGM,2018-08-24,4.0
BSGM,2018-01-05,4.0
BSGM,2020-02-28,4.0
BSGM,2018-03-23,2.0
BSGM,2021-09-03,4.0
BSGM,2019-08-16,4.0
BSGM,2021-04-30,2.0
BSGM,2019-05-03,4.0
BSGM,2020-03-06,4.0
BSGM,2018-10-05,4.0
BSGM,2016-12-23,1.0
BSGM,2017-11-10,4.0
BSGM,2018-01-19,4.0
BSGM,2021-01-08,2.0
BSGM,2019-09-27,4.0
BSGM,2020-10-16,4.0
BSGM,2018-04-20,2.0
BSGM,2015-10-02,1.0
BSGM,2017-04-21,2.0
BSGM,2020-08-28,4.0
VERI,2021-02-19,4.0
VERI,2019-06-07,4.0
VERI,2019-02-15,3.0
VERI,2021-10-01,4.0
VERI,2021-02-26,4.0
VERI,2020-03-27,4.0
VERI,2019-09-13,2.0
VERI,2020-06-12,4.0
VERI,2021-01-15,4.0
VERI,2021-05-21,4.0
VERI,2021-09-24,4.0
VERI,2019-08-30,1.0
VERI,2018-05-25,2.0
VERI,2019-01-04,2.0
VERI,2020-07-03,4.0
VERI,2020-05-22,4.0
VERI,2018-02-23,2.0
VERI,2018-07-13,3.0
VERI,2020-11-27,1.0
VERI,2018-04-06,2.0
STEL,2021-08-20,4.0
STEL,2021-09-24,1.0
STEL,2019-12-20,3.0
STEL,2021-01-15,4.0
STEL,2020-08-07,3.0
STEL,2021-04-30,4.0
STEL,2021-06-18,4.0
STEL,2020-12-11,4.0
STEL,2018-08-17,1.0
STEL,2020-04-24,3.0
STEL,2018-11-30,2.0
STEL,2019-11-08,3.0
STEL,2020-03-13,3.0
STEL,2020-05-08,3.0
STEL,2021-02-05,4.0
STEL,2020-06-12,3.0
STEL,2021-02-19,4.0
STEL,2019-12-06,3.0
STEL,2019-08-02,3.0
STEL,2020-01-03,3.0
BCRX,2006-07-28,4.0
BCRX,2001-12-07,3.0
BCRX,2009-02-06,4.0
BCRX,1999-02-05,4.0
BCRX,2003-01-24,4.0
BCRX,1997-08-22,2.0
BCRX,1998-05-01,1.0
BCRX,2004-10-15,1.0
BCRX,2003-12-19,2.0
BCRX,2010-01-01,2.0
BCRX,2016-07-29,2.0
BCRX,1996-10-25,1.0
BCRX,2010-02-19,2.0
BCRX,2001-02-23,2.0
BCRX,2017-08-18,4.0
BCRX,2003-01-17,1.0
BCRX,2002-01-04,2.0
BCRX,2018-08-24,3.0
BCRX,2010-01-22,2.0
BCRX,2010-08-13,4.0
FSEA,2021-09-24,4.0
FSEA,2021-07-02,4.0
FSEA,2021-01-22,4.0
FSEA,2020-08-14,3.0
FSEA,2021-08-20,4.0
FSEA,2020-07-10,3.0
FSEA,2021-04-02,4.0
FSEA,2021-06-18,4.0
FSEA,2020-06-12,3.0
FSEA,2020-06-05,3.0
FSEA,2021-08-27,4.0
FSEA,2020-04-24,3.0
FSEA,2021-10-08,4.0
FSEA,2020-09-11,3.0
FSEA,2021-07-30,4.0
FSEA,2020-07-24,3.0
FSEA,2020-11-06,4.0
FSEA,2020-11-27,4.0
FSEA,2021-04-16,4.0
FSEA,2021-05-07,4.0
WB,2021-01-29,4.0
WB,2018-06-01,4.0
WB,2019-01-18,2.0
WB,2021-05-21,4.0
WB,2017-12-01,1.0
WB,2019-02-15,2.0
WB,2018-02-23,4.0
WB,2018-09-07,2.0
WB,2021-03-26,1.0
WB,2016-04-15,4.0
WB,2015-12-04,2.0
WB,2020-05-15,4.0
WB,2019-11-22,4.0
WB,2017-02-17,1.0
WB,2018-09-21,2.0
WB,2016-05-06,4.0
WB,2016-01-01,2.0
WB,2020-07-10,4.0
WB,2019-08-30,4.0
WB,2016-04-29,4.0
VET,2016-03-18,1.0
VET,2013-01-18,4.0
VET,2019-09-13,2.0
VET,2014-05-23,1.0
VET,2014-10-17,2.0
VET,2016-04-29,1.0
VET,2020-12-11,4.0
VET,2020-05-29,2.0
VET,2015-09-25,1.0
VET,2012-05-25,3.0
VET,2018-01-12,4.0
VET,2015-10-16,1.0
VET,2012-07-20,3.0
VET,2018-10-12,2.0
VET,2020-07-17,2.0
VET,2014-12-12,3.0
VET,2016-01-08,1.0
VET,2015-02-13,4.0
VET,2014-04-04,1.0
VET,2020-07-24,2.0
CNDT,2021-07-23,4.0
CNDT,2018-12-07,2.0
CNDT,2019-02-01,2.0
CNDT,2021-08-27,4.0
CNDT,2021-01-08,4.0
CNDT,2019-05-10,2.0
CNDT,2018-12-28,2.0
CNDT,2020-12-11,1.0
CNDT,2020-04-17,4.0
CNDT,2018-04-20,4.0
CNDT,2021-01-22,4.0
CNDT,2020-07-31,4.0
CNDT,2020-10-23,1.0
CNDT,2019-09-20,4.0
CNDT,2018-04-13,4.0
CNDT,2019-06-07,3.0
CNDT,2019-03-08,2.0
CNDT,2018-05-04,4.0
CNDT,2021-07-09,4.0
CNDT,2021-04-30,1.0
HLX,2016-09-02,3.0
HLX,2001-04-27,1.0
HLX,2004-12-24,1.0
HLX,2006-03-17,1.0
HLX,2011-10-07,3.0
HLX,2014-04-25,2.0
HLX,2020-09-11,2.0
HLX,2013-03-22,4.0
HLX,2000-12-22,4.0
HLX,2002-01-04,3.0
HLX,2020-05-08,4.0
HLX,2019-08-30,4.0
HLX,2015-08-28,1.0
HLX,2012-03-02,3.0
HLX,2019-07-05,4.0
HLX,2015-06-26,1.0
HLX,2007-04-06,2.0
HLX,2007-01-05,4.0
HLX,2011-12-02,3.0
HLX,2021-09-03,3.0
FSLR,2008-10-24,3.0
FSLR,2008-11-14,3.0
FSLR,2015-09-25,2.0
FSLR,2011-06-24,3.0
FSLR,2018-01-05,4.0
FSLR,2017-05-12,2.0
FSLR,2013-01-25,1.0
FSLR,2016-11-18,1.0
FSLR,2019-04-26,3.0
FSLR,2014-07-25,4.0
FSLR,2020-01-31,4.0
FSLR,2010-08-13,1.0
FSLR,2009-05-01,4.0
FSLR,2008-12-19,2.0
FSLR,2020-01-03,4.0
FSLR,2008-01-18,4.0
FSLR,2011-01-21,3.0
FSLR,2010-02-26,4.0
FSLR,2020-07-17,2.0
FSLR,2011-11-25,3.0
IBM,1972-02-11,4.0
IBM,2007-04-20,2.0
IBM,2017-09-15,1.0
IBM,1998-10-09,4.0
IBM,2012-03-02,1.0
IBM,1989-08-18,4.0
IBM,2007-03-23,1.0
IBM,2010-08-06,3.0
IBM,2015-04-17,1.0
IBM,2001-02-23,1.0
IBM,2006-01-13,1.0
IBM,2002-03-29,1.0
IBM,1971-05-07,3.0
IBM,2010-05-28,3.0
IBM,2009-06-12,3.0
IBM,2014-12-12,1.0
IBM,2003-02-28,4.0
IBM,1990-06-22,1.0
IBM,1981-09-11,3.0
IBM,2007-11-30,3.0
SEB,1984-09-28,2.0
SEB,1984-06-08,2.0
SEB,1997-10-31,4.0
SEB,2002-11-01,2.0
SEB,1986-05-16,2.0
SEB,1988-05-27,1.0
SEB,1994-07-29,1.0
SEB,2020-12-04,3.0
SEB,1976-12-10,3.0
SEB,2013-06-14,1.0
SEB,1988-07-15,4.0
SEB,1977-10-07,3.0
SEB,1994-06-17,4.0
SEB,2016-04-29,3.0
SEB,1996-06-14,4.0
SEB,1986-09-12,3.0
SEB,2007-11-23,3.0
SEB,1984-03-23,2.0
SEB,1979-07-13,2.0
SEB,1975-08-29,3.0
NODK,2017-12-15,4.0
NODK,2020-12-25,1.0
NODK,2021-04-09,1.0
NODK,2018-12-21,1.0
NODK,2020-11-06,4.0
NODK,2021-05-14,1.0
NODK,2018-09-21,1.0
NODK,2020-02-07,4.0
NODK,2018-02-23,4.0
NODK,2017-12-08,4.0
NODK,2020-10-23,4.0
NODK,2020-06-26,4.0
NODK,2021-04-02,1.0
NODK,2020-09-25,1.0
NODK,2018-09-07,1.0
NODK,2019-10-11,1.0
NODK,2020-11-20,4.0
NODK,2018-03-16,4.0
NODK,2019-10-18,1.0
NODK,2021-10-15,1.0
MAG,2020-08-14,4.0
MAG,2020-06-05,4.0
MAG,2021-01-08,4.0
MAG,2016-04-29,1.0
MAG,2013-05-10,1.0
MAG,2014-01-24,2.0
MAG,2021-07-02,4.0
MAG,2010-04-02,4.0
MAG,2015-05-22,1.0
MAG,2016-06-03,4.0
MAG,2018-12-28,3.0
MAG,2012-01-27,2.0
MAG,2018-02-16,4.0
MAG,2012-07-20,3.0
MAG,2020-04-24,4.0
MAG,2014-05-16,2.0
MAG,2015-07-10,1.0
MAG,2010-05-14,1.0
MAG,2020-12-11,3.0
MAG,2015-03-06,4.0
GES,2019-06-21,4.0
GES,2013-08-23,1.0
GES,2007-11-16,2.0
GES,2008-05-30,4.0
GES,2014-03-28,4.0
GES,2013-10-11,1.0
GES,2014-04-25,4.0
GES,1998-12-04,4.0
GES,2005-04-01,2.0
GES,1997-05-09,2.0
GES,2009-01-30,3.0
GES,2001-11-02,2.0
GES,2021-07-23,3.0
GES,2007-06-08,2.0
GES,2015-03-06,4.0
GES,2013-12-27,1.0
GES,2003-12-05,2.0
GES,2019-03-15,2.0
GES,2012-09-14,4.0
GES,2019-12-20,4.0
ZEUS,2003-08-15,1.0
ZEUS,2009-10-16,1.0
ZEUS,2010-12-03,2.0
ZEUS,2000-03-31,2.0
ZEUS,2016-10-21,4.0
ZEUS,2002-11-29,2.0
ZEUS,2011-08-19,3.0
ZEUS,1998-12-25,4.0
ZEUS,1999-04-02,2.0
ZEUS,2001-02-09,1.0
ZEUS,1997-04-18,1.0
ZEUS,2019-05-31,2.0
ZEUS,2021-02-19,2.0
ZEUS,2018-12-21,2.0
ZEUS,2003-05-09,4.0
ZEUS,2005-12-09,2.0
ZEUS,2021-07-30,3.0
ZEUS,2021-01-01,2.0
ZEUS,2017-05-26,4.0
ZEUS,2019-06-14,2.0
SKYW,2017-01-06,1.0
SKYW,2010-01-29,4.0
SKYW,1987-05-01,2.0
SKYW,1992-01-24,2.0
SKYW,1990-01-12,2.0
SKYW,2019-02-01,2.0
SKYW,2019-02-22,2.0
SKYW,1994-01-14,4.0
SKYW,2009-09-04,4.0
SKYW,2008-04-11,4.0
SKYW,1991-05-31,2.0
SKYW,1998-08-28,2.0
SKYW,2018-06-29,4.0
SKYW,1992-08-07,4.0
SKYW,2009-02-20,3.0
SKYW,2019-06-07,3.0
SKYW,1989-09-22,1.0
SKYW,1995-02-10,4.0
SKYW,1997-03-07,3.0
SKYW,2014-02-28,2.0
CHEF,2013-11-08,4.0
CHEF,2020-09-11,1.0
CHEF,2018-04-13,4.0
CHEF,2021-02-05,1.0
CHEF,2018-06-08,4.0
CHEF,2012-12-21,2.0
CHEF,2020-10-16,1.0
CHEF,2015-06-26,1.0
CHEF,2017-12-15,3.0
CHEF,2021-07-09,4.0
CHEF,2015-07-31,2.0
CHEF,2014-06-20,4.0
CHEF,2014-12-05,1.0
CHEF,2014-06-06,4.0
CHEF,2015-10-30,2.0
CHEF,2020-02-14,3.0
CHEF,2013-04-26,3.0
CHEF,2018-06-15,4.0
CHEF,2017-11-10,3.0
CHEF,2014-02-14,2.0
NVT,2019-04-19,2.0
NVT,2021-01-15,2.0
NVT,2021-03-12,3.0
NVT,2021-08-06,3.0
NVT,2020-10-23,3.0
NVT,2021-07-02,2.0
NVT,2021-01-29,2.0
NVT,2019-07-12,3.0
NVT,2020-09-25,1.0
NVT,2020-01-10,3.0
NVT,2020-04-17,3.0
NVT,2020-06-12,1.0
NVT,2020-08-07,1.0
NVT,2020-05-29,1.0
NVT,2020-12-18,3.0
NVT,2021-09-24,3.0
NVT,2021-02-05,3.0
NVT,2019-05-10,2.0
NVT,2021-03-05,3.0
NVT,2020-10-16,2.0
SKX,2012-06-01,2.0
SKX,2012-05-25,2.0
SKX,2005-04-15,3.0
SKX,2013-03-22,2.0
SKX,2009-02-06,4.0
SKX,2020-06-05,1.0
SKX,2007-01-05,4.0
SKX,2020-08-21,4.0
SKX,2017-04-21,3.0
SKX,2007-04-20,1.0
SKX,2011-11-25,3.0
SKX,2021-06-25,3.0
SKX,2008-02-08,2.0
SKX,2021-10-15,2.0
SKX,2004-04-16,2.0
SKX,2009-02-13,4.0
SKX,2011-12-09,3.0
SKX,2012-02-24,2.0
SKX,2017-10-06,2.0
SKX,2002-07-19,2.0
UONE,2020-03-13,2.0
UONE,2016-09-23,3.0
UONE,2011-02-11,2.0
UONE,2006-11-03,4.0
UONE,2020-03-27,2.0
UONE,2002-02-08,3.0
UONE,2021-08-27,4.0
UONE,2005-09-09,4.0
UONE,2013-03-22,2.0
UONE,2015-02-06,1.0
UONE,2015-12-11,1.0
UONE,2004-06-11,4.0
UONE,2001-06-29,3.0
UONE,2011-06-24,2.0
UONE,2008-07-04,4.0
UONE,2006-08-18,4.0
UONE,2000-12-29,4.0
UONE,2010-05-07,4.0
UONE,2003-07-04,1.0
UONE,2018-05-18,2.0
VKTX,2021-01-22,2.0
VKTX,2018-09-07,3.0
VKTX,2017-04-07,4.0
VKTX,2017-01-06,4.0
VKTX,2016-10-14,3.0
VKTX,2021-10-15,1.0
VKTX,2019-04-05,1.0
VKTX,2018-05-11,3.0
VKTX,2017-06-30,4.0
VKTX,2019-05-24,1.0
VKTX,2019-09-27,4.0
VKTX,2018-08-03,3.0
